factor,X,AME,SE,z,p,lower,upper
conditionTreatment,-2,-3.6363753257620224,0.48065376264639104,-7.565477706324008,3.8644179169571734e-14,-4.578439389582559,-2.694311261941379
conditionTreatment,-1.75,-3.133891471099555,0.43448866537109,-7.212826756764638,5.480212044725008e-13,-3.9854736069177705,-2.2823093352813477
conditionTreatment,-1.5,-2.6314076164370874,0.3885292600009801,-6.7727398869018245,1.2636602964330805e-11,-3.3929109729790574,-1.8699042598952187
conditionTreatment,-1.25,-2.1289237617746206,0.34285780590673265,-6.209348963615984,5.320455724414726e-10,-2.8009127131702565,-1.4569348103790167
conditionTreatment,-1,-1.6264399071121538,0.2976070332969697,-5.465058702054252,4.62753640228728e-8,-2.2097389739200417,-1.0431408403042957
conditionTreatment,-0.75,-1.1239560524496865,0.25300257747888016,-4.442468782925782,8.893253928492472e-6,-1.6198319923041111,-0.6280801125952922
conditionTreatment,-0.5,-0.6214721977872193,0.2094582039832175,-2.9670463413169235,0.0030067563676865017,-1.0320027338607582,-0.21094166171365775
conditionTreatment,-0.25,-0.11898834312475215,0.16780086146066045,-0.7091044830699395,0.4782596411555977,-0.4478719881624439,0.20989530191293515
conditionTreatment,0,0.38349551153771494,0.129859561777604,2.9531557498591052,0.003145432185970028,0.1289754474054589,0.6380155756699748
conditionTreatment,0.25,0.885979366200182,0.09995927200996735,8.86340354811545,7.760803929192343e-19,0.6900627931398178,1.081895939260575
conditionTreatment,0.5,1.3884632208626493,0.0868458358009178,15.987677567471529,1.557292826571417e-57,1.218248510485543,1.5586779312396992
conditionTreatment,0.75,1.8909470755251163,0.09754227902303328,19.38592264261731,1.0146892717579941e-83,1.6997677216700655,2.0821264293802693
conditionTreatment,1,2.393430930187584,0.12613008452033422,18.97589254212958,2.698887734022677e-80,2.1462205071607547,2.640641353214451
conditionTreatment,1.25,2.8959147848500506,0.16347812540188092,17.714387033317006,3.2474571921033447e-70,2.575503546802209,3.216326022897827
conditionTreatment,1.5,3.398398639512518,0.20484969594579,16.58971776268512,8.2708108688727e-62,2.9969006132147387,3.7998966658101967
conditionTreatment,1.75,3.9008824941749856,0.24824129191138244,15.714075866022839,1.211346131618079e-55,3.4143385025528628,4.38742648579687
conditionTreatment,2,4.4033663488374515,0.2927556610165647,15.04109718509696,3.9494940395568583e-51,3.829575796974754,4.977156900700121
