dataset,column,agrees,n_rows_regenerated,n_rows_deposited
two_arm,ID,TRUE,500,500
two_arm,U,TRUE,500,500
two_arm,Y_Z_0,TRUE,500,500
two_arm,Y_Z_1,TRUE,500,500
two_arm,Z,TRUE,500,500
two_arm,Z_cond_prob,TRUE,500,500
two_arm,Y,TRUE,500,500
two_arm,condition,TRUE,500,500
blocked,neighborhood,TRUE,150,150
blocked,lambda,TRUE,150,150
blocked,resident,TRUE,150,150
blocked,Y_Z_0,TRUE,150,150
blocked,Y_Z_1,TRUE,150,150
blocked,Z,TRUE,150,150
blocked,Z_cond_prob,TRUE,150,150
blocked,Y,TRUE,150,150
blocked,condition,TRUE,150,150
clustered,class,TRUE,441,441
clustered,n_per_class,TRUE,441,441
clustered,class_shock,TRUE,441,441
clustered,student,TRUE,441,441
clustered,student_shock,TRUE,441,441
clustered,Y_Z_0,TRUE,441,441
clustered,Y_Z_1,TRUE,441,441
clustered,Z,FALSE,441,441
clustered,Z_cond_prob,TRUE,441,441
clustered,Y,FALSE,441,441
clustered,condition,FALSE,441,441
covariate,ID,TRUE,100,100
covariate,U,TRUE,100,100
covariate,X,TRUE,100,100
covariate,Y_Z_0,TRUE,100,100
covariate,Y_Z_1,TRUE,100,100
covariate,Z,FALSE,100,100
covariate,Z_cond_prob,TRUE,100,100
covariate,Y,FALSE,100,100
covariate,condition,FALSE,100,100
noncompliance,Z,TRUE,600,600
noncompliance,Treatment Receipt,TRUE,600,600
noncompliance,Turnout,TRUE,600,600
attrition,ID,TRUE,200,200
attrition,U,TRUE,200,200
attrition,Y_Z_0,TRUE,200,200
attrition,Y_Z_1,TRUE,200,200
attrition,R_Z_0,TRUE,200,200
attrition,R_Z_1,TRUE,200,200
attrition,Z,FALSE,200,200
attrition,Z_cond_prob,TRUE,200,200
attrition,R,FALSE,200,200
attrition,Y,FALSE,200,200
interaction,ID,TRUE,1189,1189
interaction,noise,TRUE,1189,1189
interaction,X,TRUE,1189,1189
interaction,Y_Z_1,TRUE,1189,1189
interaction,Y_Z_0,TRUE,1189,1189
interaction,S_inclusion_prob,TRUE,1189,1189
interaction,Z,FALSE,1189,1189
interaction,Z_cond_prob,TRUE,1189,1189
interaction,Y,FALSE,1189,1189
interaction,condition,FALSE,1189,1189
