neighborhood,lambda,resident,Y_Z_0,Y_Z_1,Z,Z_cond_prob,Y,condition
1,10,001,16,7,1,0.5,7,Treatment
1,10,002,8,2,1,0.5,2,Treatment
1,10,003,11,6,0,0.5,11,Control
1,10,004,6,11,1,0.5,11,Treatment
1,10,005,8,10,1,0.5,10,Treatment
1,10,006,8,6,1,0.5,6,Treatment
1,10,007,9,3,0,0.5,9,Control
1,10,008,11,3,0,0.5,11,Control
1,10,009,6,8,0,0.5,6,Control
1,10,010,9,6,1,0.5,6,Treatment
1,10,011,17,3,1,0.5,3,Treatment
1,10,012,7,6,0,0.5,7,Control
1,10,013,10,5,0,0.5,10,Control
1,10,014,12,4,0,0.5,12,Control
1,10,015,12,6,0,0.5,12,Control
1,10,016,12,1,0,0.5,12,Control
1,10,017,15,2,1,0.5,2,Treatment
1,10,018,8,5,0,0.5,8,Control
1,10,019,12,7,1,0.5,7,Treatment
1,10,020,11,1,0,0.5,11,Control
1,10,021,7,2,1,0.5,2,Treatment
1,10,022,6,9,1,0.5,9,Treatment
1,10,023,11,8,0,0.5,11,Control
1,10,024,13,9,0,0.5,13,Control
1,10,025,12,10,1,0.5,10,Treatment
1,10,026,11,6,0,0.5,11,Control
1,10,027,5,0,0,0.5,5,Control
1,10,028,10,3,1,0.5,3,Treatment
1,10,029,12,8,0,0.5,12,Control
1,10,030,10,10,1,0.5,10,Treatment
1,10,031,16,2,0,0.5,16,Control
1,10,032,9,8,1,0.5,8,Treatment
1,10,033,8,6,0,0.5,8,Control
1,10,034,11,-1,0,0.5,11,Control
1,10,035,13,11,0,0.5,13,Control
1,10,036,10,4,1,0.5,4,Treatment
1,10,037,8,18,0,0.5,8,Control
1,10,038,9,5,1,0.5,5,Treatment
1,10,039,5,7,1,0.5,7,Treatment
1,10,040,10,7,1,0.5,7,Treatment
1,10,041,11,4,1,0.5,4,Treatment
1,10,042,11,8,1,0.5,8,Treatment
1,10,043,12,6,1,0.5,6,Treatment
1,10,044,13,6,0,0.5,13,Control
1,10,045,13,12,1,0.5,12,Treatment
1,10,046,12,2,1,0.5,2,Treatment
1,10,047,10,0,0,0.5,10,Control
1,10,048,11,5,0,0.5,11,Control
1,10,049,12,5,0,0.5,12,Control
1,10,050,10,3,1,0.5,3,Treatment
2,5,051,8,5,0,0.75,8,Control
2,5,052,6,10,1,0.25,10,Treatment
2,5,053,3,2,0,0.75,3,Control
2,5,054,4,6,0,0.75,4,Control
2,5,055,4,4,1,0.25,4,Treatment
2,5,056,2,5,1,0.25,5,Treatment
2,5,057,3,4,0,0.75,3,Control
2,5,058,6,4,0,0.75,6,Control
2,5,059,3,8,0,0.75,3,Control
2,5,060,7,4,1,0.25,4,Treatment
2,5,061,6,10,0,0.75,6,Control
2,5,062,3,2,0,0.75,3,Control
2,5,063,4,2,0,0.75,4,Control
2,5,064,2,6,0,0.75,2,Control
2,5,065,7,4,0,0.75,7,Control
2,5,066,9,4,0,0.75,9,Control
2,5,067,3,9,0,0.75,3,Control
2,5,068,4,8,1,0.25,8,Treatment
2,5,069,5,4,1,0.25,4,Treatment
2,5,070,7,1,0,0.75,7,Control
2,5,071,6,3,0,0.75,6,Control
2,5,072,8,9,0,0.75,8,Control
2,5,073,5,3,0,0.75,5,Control
2,5,074,9,8,1,0.25,8,Treatment
2,5,075,4,6,0,0.75,4,Control
2,5,076,4,6,1,0.25,6,Treatment
2,5,077,8,9,0,0.75,8,Control
2,5,078,6,8,0,0.75,6,Control
2,5,079,7,2,0,0.75,7,Control
2,5,080,4,5,0,0.75,4,Control
2,5,081,4,4,0,0.75,4,Control
2,5,082,4,3,0,0.75,4,Control
2,5,083,2,4,0,0.75,2,Control
2,5,084,3,5,0,0.75,3,Control
2,5,085,5,5,0,0.75,5,Control
2,5,086,2,7,0,0.75,2,Control
2,5,087,8,5,0,0.75,8,Control
2,5,088,4,3,0,0.75,4,Control
2,5,089,3,4,0,0.75,3,Control
2,5,090,5,7,1,0.25,7,Treatment
2,5,091,6,3,0,0.75,6,Control
2,5,092,1,5,0,0.75,1,Control
2,5,093,5,1,0,0.75,5,Control
2,5,094,8,3,1,0.25,3,Treatment
2,5,095,5,6,1,0.25,6,Treatment
2,5,096,2,8,0,0.75,2,Control
2,5,097,8,7,1,0.25,7,Treatment
2,5,098,4,3,0,0.75,4,Control
2,5,099,7,4,0,0.75,7,Control
2,5,100,5,4,0,0.75,5,Control
2,5,101,10,6,0,0.75,10,Control
2,5,102,6,5,1,0.25,5,Treatment
2,5,103,6,7,0,0.75,6,Control
2,5,104,5,6,0,0.75,5,Control
2,5,105,6,8,0,0.75,6,Control
2,5,106,3,7,0,0.75,3,Control
2,5,107,5,8,1,0.25,8,Treatment
2,5,108,6,6,0,0.75,6,Control
2,5,109,7,5,0,0.75,7,Control
2,5,110,6,5,0,0.75,6,Control
2,5,111,2,6,0,0.75,2,Control
2,5,112,5,5,0,0.75,5,Control
2,5,113,6,6,0,0.75,6,Control
2,5,114,8,10,0,0.75,8,Control
2,5,115,6,2,0,0.75,6,Control
2,5,116,4,6,0,0.75,4,Control
2,5,117,5,6,0,0.75,5,Control
2,5,118,8,6,0,0.75,8,Control
2,5,119,3,5,0,0.75,3,Control
2,5,120,4,1,0,0.75,4,Control
2,5,121,7,5,0,0.75,7,Control
2,5,122,4,9,1,0.25,9,Treatment
2,5,123,5,4,0,0.75,5,Control
2,5,124,5,5,1,0.25,5,Treatment
2,5,125,6,4,0,0.75,6,Control
2,5,126,5,7,1,0.25,7,Treatment
2,5,127,5,8,0,0.75,5,Control
2,5,128,8,7,0,0.75,8,Control
2,5,129,5,2,0,0.75,5,Control
2,5,130,8,5,0,0.75,8,Control
2,5,131,2,3,0,0.75,2,Control
2,5,132,7,6,0,0.75,7,Control
2,5,133,3,3,0,0.75,3,Control
2,5,134,5,4,1,0.25,4,Treatment
2,5,135,5,0,0,0.75,5,Control
2,5,136,2,6,0,0.75,2,Control
2,5,137,9,5,0,0.75,9,Control
2,5,138,4,4,1,0.25,4,Treatment
2,5,139,7,3,1,0.25,3,Treatment
2,5,140,7,2,0,0.75,7,Control
2,5,141,4,3,1,0.25,3,Treatment
2,5,142,4,7,0,0.75,4,Control
2,5,143,3,5,0,0.75,3,Control
2,5,144,6,5,0,0.75,6,Control
2,5,145,9,2,1,0.25,2,Treatment
2,5,146,3,2,0,0.75,3,Control
2,5,147,7,9,0,0.75,7,Control
2,5,148,6,3,1,0.25,3,Treatment
2,5,149,4,6,1,0.25,6,Treatment
2,5,150,2,3,1,0.25,3,Treatment
