Z,Treatment Receipt,Turnout
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,1
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
Treatment,1,0
