ID,U,Y_Z_0,Y_Z_1,Z,Z_cond_prob,Y,condition
001,-1.396776492623396,0,0,0,0.8,0,Control
002,0.5233121024105768,1,1,0,0.8,1,Control
003,0.142264575278737,0,0,0,0.8,0,Control
004,-0.8466480308426212,0,1,0,0.8,0,Control
005,-0.4118213620674399,1,1,0,0.8,1,Control
006,-1.4650350368910074,0,0,1,0.2,0,Treatment
007,-0.9241138457685574,0,0,0,0.8,0,Control
008,-1.1881364343330314,0,0,0,0.8,0,Control
009,-1.0980438086586275,0,1,1,0.2,1,Treatment
010,1.09741687873405,1,0,0,0.8,1,Control
011,-1.60081055095071,0,0,1,0.2,0,Treatment
012,0.27174075752562965,1,1,0,0.8,1,Control
013,-0.7518187398841997,1,0,0,0.8,1,Control
014,0.7123877267099658,0,1,0,0.8,0,Control
015,-1.0686785894786897,1,1,0,0.8,1,Control
016,-1.0647883582137436,0,1,0,0.8,0,Control
017,-0.20220457199601785,1,1,1,0.2,1,Treatment
018,-0.3184234643433317,1,0,0,0.8,1,Control
019,0.27347630538481116,0,1,1,0.2,1,Treatment
020,1.150658424042222,1,1,0,0.8,1,Control
021,-0.16249585254590607,0,1,1,0.2,1,Treatment
022,-0.2835639906251676,1,0,1,0.2,0,Treatment
023,0.16995076249409985,1,1,0,0.8,1,Control
024,0.7379347735168866,1,1,0,0.8,1,Control
025,-1.4222334701787605,0,0,1,0.2,0,Treatment
026,0.7445063384710564,1,1,1,0.2,1,Treatment
027,2.0800519022444943,1,1,0,0.8,1,Control
028,-0.7867140741834119,0,0,0,0.8,0,Control
029,0.342930004686628,1,1,0,0.8,1,Control
030,-0.47848742403066696,1,1,0,0.8,1,Control
031,-0.31253957497406826,1,1,1,0.2,1,Treatment
032,0.3424868063714645,0,1,0,0.8,0,Control
033,-0.9387871667943645,0,0,0,0.8,0,Control
034,0.6516985446141585,0,1,0,0.8,0,Control
035,0.029593655236815824,1,0,0,0.8,1,Control
036,0.6153657828337981,1,0,0,0.8,1,Control
037,0.9200480773056637,1,1,0,0.8,1,Control
038,0.11801086745468146,1,1,1,0.2,1,Treatment
039,-0.6240764749513326,0,0,0,0.8,0,Control
040,-0.17918155594315366,0,1,0,0.8,0,Control
041,0.7384970598664994,1,1,1,0.2,1,Treatment
042,-0.8882139887223405,0,0,0,0.8,0,Control
043,0.7453055373135151,1,1,0,0.8,1,Control
044,-0.2864636388658214,1,0,0,0.8,1,Control
045,-0.5573518537598454,0,0,1,0.2,0,Treatment
046,0.25363797308652714,1,1,0,0.8,1,Control
047,-0.47181923520845426,1,0,0,0.8,1,Control
048,0.0752659284756057,1,1,0,0.8,1,Control
049,-0.13416046054255876,0,1,0,0.8,0,Control
050,1.3304462254680016,1,1,0,0.8,1,Control
051,-0.9573077569156487,1,1,0,0.8,1,Control
052,1.5252136200141737,1,1,0,0.8,1,Control
053,-0.2104034368813472,1,0,1,0.2,0,Treatment
054,-0.18480772138439003,0,0,0,0.8,0,Control
055,0.572143452539977,1,1,0,0.8,1,Control
056,1.7025013866484944,1,1,0,0.8,1,Control
057,0.0713946459398757,1,1,0,0.8,1,Control
058,-2.0615918090731618,0,0,0,0.8,0,Control
059,-0.16546808111147832,0,1,0,0.8,0,Control
060,-0.7140913151433889,0,0,0,0.8,0,Control
061,-0.02958589261371423,1,1,0,0.8,1,Control
062,0.0830077392597006,1,1,0,0.8,1,Control
063,-3.8242045511055223e-4,0,1,0,0.8,0,Control
064,0.42863815210235146,1,1,1,0.2,1,Treatment
065,0.6500671425286711,1,0,0,0.8,1,Control
066,0.19514242924552774,1,1,1,0.2,1,Treatment
067,-0.4438743770016437,1,1,0,0.8,1,Control
068,1.4231433103517226,1,1,0,0.8,1,Control
069,-0.7470472887205182,0,0,1,0.2,0,Treatment
070,-1.4037247696467428,0,0,1,0.2,0,Treatment
071,0.8436733476997226,1,1,0,0.8,1,Control
072,0.04992357720160668,0,1,0,0.8,0,Control
073,0.3068813203523266,1,1,0,0.8,1,Control
074,-0.20016796349770202,1,1,1,0.2,1,Treatment
075,-1.4961690962954615,1,0,0,0.8,1,Control
076,0.38649778161400006,1,1,0,0.8,1,Control
077,-1.2302849144282721,0,0,0,0.8,0,Control
078,-0.23756660635390622,0,1,0,0.8,0,Control
079,-0.3809353593824042,0,1,0,0.8,0,Control
080,0.22059872179065582,1,1,0,0.8,1,Control
081,-0.9731308254836202,0,0,1,0.2,0,Treatment
082,0.6730470968796185,1,1,0,0.8,1,Control
083,-1.9716775909649127,0,0,1,0.2,0,Treatment
084,0.5211126426430942,1,1,0,0.8,1,Control
085,0.5995560206023252,1,1,0,0.8,1,Control
086,-0.40873415799136675,0,1,0,0.8,0,Control
087,1.5501599682511567,1,1,0,0.8,1,Control
088,-0.4087888662125874,0,0,0,0.8,0,Control
089,-1.731087810950161,0,0,1,0.2,0,Treatment
090,0.23770748601993907,1,1,0,0.8,1,Control
091,-0.8174683120590328,0,0,0,0.8,0,Control
092,-0.3827403841383791,1,1,1,0.2,1,Treatment
093,-0.12347054107734103,0,1,0,0.8,0,Control
094,-0.2266208277906013,0,1,0,0.8,0,Control
095,-0.19747226886780914,0,0,0,0.8,0,Control
096,0.9191449418523266,1,1,0,0.8,1,Control
097,-0.8694962655682901,1,0,0,0.8,1,Control
098,-1.271712149560997,0,0,1,0.2,0,Treatment
099,0.5436175658586175,1,1,0,0.8,1,Control
100,1.7797479628762278,1,1,0,0.8,1,Control
101,-0.5782755038487194,0,1,0,0.8,0,Control
102,0.14113977011503256,1,0,1,0.2,0,Treatment
103,-1.364896390662232,0,0,0,0.8,0,Control
104,-1.3801270095922489,0,0,0,0.8,0,Control
105,1.4120945500350022,1,1,0,0.8,1,Control
106,1.5699389012538036,1,1,0,0.8,1,Control
107,-0.41378627566379417,0,0,0,0.8,0,Control
108,1.0293294212505935,1,1,1,0.2,1,Treatment
109,0.44452823023252264,1,1,1,0.2,1,Treatment
110,-1.863413015970153,0,0,0,0.8,0,Control
111,0.03871855398396691,1,0,0,0.8,1,Control
112,-0.7240886719076549,0,1,1,0.2,1,Treatment
113,0.3896330233769947,0,1,0,0.8,0,Control
114,-1.1601129818717264,0,1,0,0.8,0,Control
115,0.9151139090868494,1,1,1,0.2,1,Treatment
116,-3.047261896961087,0,0,0,0.8,0,Control
117,0.2073271930820559,1,1,0,0.8,1,Control
118,-0.1586159801909694,0,1,0,0.8,0,Control
119,0.9230626421946914,1,0,0,0.8,1,Control
120,-0.00898845660741072,1,1,0,0.8,1,Control
121,0.13305264030961259,1,0,0,0.8,1,Control
122,-0.41467416757366965,0,0,1,0.2,0,Treatment
123,1.0761682002996145,0,1,0,0.8,0,Control
124,-1.074815632305963,0,0,0,0.8,0,Control
125,1.056256615637212,1,1,0,0.8,1,Control
126,-1.2091261922144128,0,0,1,0.2,0,Treatment
127,-0.2805392450907018,1,0,0,0.8,1,Control
128,-0.004911318241309366,1,1,0,0.8,1,Control
129,0.46991493606818974,1,1,0,0.8,1,Control
130,-1.0369718913645078,0,0,1,0.2,0,Treatment
131,-0.5500196617699239,0,0,0,0.8,0,Control
132,0.04325170525726778,1,1,0,0.8,1,Control
133,1.836072062491086,1,1,0,0.8,1,Control
134,0.6179355363600418,1,1,0,0.8,1,Control
135,-1.0562921193231565,1,1,0,0.8,1,Control
136,-0.1901877430203293,0,1,0,0.8,0,Control
137,1.2837291618694413,1,1,0,0.8,1,Control
138,0.4152910780188282,0,1,0,0.8,0,Control
139,-0.010042225783688135,1,1,0,0.8,1,Control
140,-0.4190748550123523,0,0,0,0.8,0,Control
141,0.708890309830441,0,1,0,0.8,0,Control
142,0.40711577085404926,1,1,1,0.2,1,Treatment
143,-0.16643018425364386,0,1,0,0.8,0,Control
144,0.37755847837489026,1,1,1,0.2,1,Treatment
145,0.7345184650259449,1,1,0,0.8,1,Control
146,-0.2759218902367236,1,0,0,0.8,1,Control
147,0.5225378402413786,1,1,0,0.8,1,Control
148,0.6246915835418592,1,1,1,0.2,1,Treatment
149,0.6844137783884962,1,1,0,0.8,1,Control
150,-1.3007449740439976,1,0,0,0.8,1,Control
151,0.19184437737081167,1,1,0,0.8,1,Control
152,1.2996062177155074,1,1,0,0.8,1,Control
153,-0.55931411969936,0,0,0,0.8,0,Control
154,-0.5128964043640152,0,0,0,0.8,0,Control
155,2.4151017315981904,1,1,0,0.8,1,Control
156,-0.16026586836929393,0,0,0,0.8,0,Control
157,0.11947250572690427,1,1,0,0.8,1,Control
158,0.6182706204533729,1,1,1,0.2,1,Treatment
159,-1.0400011729212497,0,1,0,0.8,0,Control
160,1.254166741148705,1,1,0,0.8,1,Control
161,0.316241966064593,1,1,0,0.8,1,Control
162,0.43869403851708944,0,1,0,0.8,0,Control
163,0.5755487114181409,1,1,0,0.8,1,Control
164,0.3487266683195615,0,1,0,0.8,0,Control
165,0.1051535859139979,0,1,0,0.8,0,Control
166,-0.5528774800048769,0,0,1,0.2,0,Treatment
