file,dataverse_file_id,file_persistent_id,bytes,md5_served,md5_published,unf,served_as
replication_archive/README.txt,3450807,doi:10.7910/DVN/VE6VSR/DTJ067,619,84a499848601a095979edae99cc42e4d,84a499848601a095979edae99cc42e4d,,README.txt
replication_archive/attrition.R,3450797,doi:10.7910/DVN/VE6VSR/I7SFIZ,1791,97d65dbdca8a012eb9fc960df03748d2,97d65dbdca8a012eb9fc960df03748d2,,attrition.R
replication_archive/attrition_simulated_data.csv,3450808,doi:10.7910/DVN/VE6VSR/OOF4UP,8404,ccf5ef3c2d38bc6ea6c5a9e47400adf0,ccf5ef3c2d38bc6ea6c5a9e47400adf0,UNF:6:mktIdV580X9bfauZsZeUfA==,attrition_simulated_data.tab
replication_archive/blocked.R,3450803,doi:10.7910/DVN/VE6VSR/LTMNUN,3384,48a1218965be849ac515a6fff6c3e842,48a1218965be849ac515a6fff6c3e842,,blocked.R
replication_archive/blocked_simulated_data.csv,3450805,doi:10.7910/DVN/VE6VSR/M4IH0Q,4587,ed54cd849b5f400b80f1520ecf06f858,ed54cd849b5f400b80f1520ecf06f858,UNF:6:IbgUgSegREQ4R6Op68hfSg==,blocked_simulated_data.tab
replication_archive/clustered.R,3450800,doi:10.7910/DVN/VE6VSR/RWNOJP,1877,845f27deba7259bb4f58fa5e383b8c8f,845f27deba7259bb4f58fa5e383b8c8f,,clustered.R
replication_archive/clustered_simulated_data.csv,3450804,doi:10.7910/DVN/VE6VSR/EYQLE8,51970,234df0514486ba895817c18c936c0275,234df0514486ba895817c18c936c0275,UNF:6:XQs1TIDJieEJeG5uA95s3w==,clustered_simulated_data.tab
replication_archive/covariate_adjustment.R,3450796,doi:10.7910/DVN/VE6VSR/LGKYFQ,1925,59f5261aaaac9107757f7e7d96ab42c3,59f5261aaaac9107757f7e7d96ab42c3,,covariate_adjustment.R
replication_archive/covariate_simulated_data.csv,3450795,doi:10.7910/DVN/VE6VSR/X979RQ,11269,2d9fe39bda14876dd8ca765dde2d6978,2d9fe39bda14876dd8ca765dde2d6978,UNF:6:z8oX286BCSeAcRLFBcNHdA==,covariate_simulated_data.tab
replication_archive/interaction.R,3450798,doi:10.7910/DVN/VE6VSR/HUPNST,1932,156244fdc711f67d85cc073eb410f941,156244fdc711f67d85cc073eb410f941,,interaction.R
replication_archive/interaction_simulated_data.csv,3450799,doi:10.7910/DVN/VE6VSR/SOVXNS,161213,0d6aa7f7c61de82389aa51992c2b0522,0d6aa7f7c61de82389aa51992c2b0522,UNF:6:5uwn+5PCqm0aZcdoOKlqxQ==,interaction_simulated_data.tab
replication_archive/make_datasets.R,3450802,doi:10.7910/DVN/VE6VSR/OPIQMK,4233,aacaafd17c1a073c87261e44c6a0c96c,aacaafd17c1a073c87261e44c6a0c96c,,make_datasets.R
replication_archive/noncompliance.R,3450801,doi:10.7910/DVN/VE6VSR/KUWNHG,2095,8d2f9bab1206d1263f204cd312d38192,8d2f9bab1206d1263f204cd312d38192,,noncompliance.R
replication_archive/noncompliance_simulated_data.csv,3450810,doi:10.7910/DVN/VE6VSR/V3GQEO,7828,47ee0aa8dce24945079dd1dadec7703e,47ee0aa8dce24945079dd1dadec7703e,UNF:6:Ma8FiKF9Rto23AGS+5cn2w==,noncompliance_simulated_data.tab
replication_archive/two_arm_simulated_data.csv,3450811,doi:10.7910/DVN/VE6VSR/ZOKBXG,22055,3cd6e32a2745e98aecaaf330440e90bf,3cd6e32a2745e98aecaaf330440e90bf,UNF:6:AT9EP4u3br1oG1KT7tCkaw==,two_arm_simulated_data.tab
replication_archive/two_arm_trial.R,3450806,doi:10.7910/DVN/VE6VSR/8OKNHL,1325,2f97d45c76301f6fc9248b1350ce4172,2f97d45c76301f6fc9248b1350ce4172,,two_arm_trial.R
replication_archive/two_arm_trial.do,3450809,doi:10.7910/DVN/VE6VSR/0NBH27,555,211a5892ea68a690733ea7b32296b530,211a5892ea68a690733ea7b32296b530,,two_arm_trial.do
